은행코드,은행명,상품명,상품개요_설명,계약기간개월수_최소구간,계약기간개월수_최대구간,가입금액_최소구간,가입금액_최대구간,기본금리
004,국민은행,일반정기적금,매월 일정액을 납입하여 목돈을 마련하는 적립식예금,36개월,36개월,제한없음,제한없음,3.1
D02,대백저축은행,자유적립예금,일정금액을 정기적으로 납입하여 만기일에 원리금을 지급받는 목돈마련 상품,12개월 초과,36개월 이하,제한없음,제한없음,2.0
D02,대백저축은행,한마음정기적금,일정금액을 정기적으로 납입하여 만기일에 원리금을 지급받는 목돈마련 상품,6개월 이상,12개월 미만,제한없음,제한없음,3.5
D02,대백저축은행,신용부금(월수),일정금액을 정기적으로 납입하여 만기일에 원리금을 지급받는 목돈마련 상품,24개월 이상,36개월 미만,제한없음,제한없음,2.4
D02,대백저축은행,한마음정기적금,일정금액을 정기적으로 납입하여 만기일에 원리금을 지급받는 목돈마련 상품,12개월 이상,24개월 미만,제한없음,제한없음,4.0
D02,대백저축은행,한마음정기적금,일정금액을 정기적으로 납입하여 만기일에 원리금을 지급받는 목돈마련 상품,24개월 이상,36개월 미만,제한없음,제한없음,4.0
D02,대백저축은행,한마음정기적금,일정금액을 정기적으로 납입하여 만기일에 원리금을 지급받는 목돈마련 상품,36개월 이상,60개월 미만,제한없음,제한없음,3.5
D02,대백저축은행,한마음정기적금,일정금액을 정기적으로 납입하여 만기일에 원리금을 지급받는 목돈마련 상품,60개월,60개월,제한없음,제한없음,3.5
D02,대백저축은행,애플정기적금(인터넷뱅킹),일정금액을 정기적으로 납입하여 만기일에 원리금을 지급받는 목돈마련 상품,6개월 이상,12개월 미만,제한없음,제한없음,3.5
D07,머스트삼일저축은행,자유적립예금,일정기간을 정하고 자유롭게 적립하며 만기시에 단리로 이자를 지급하는 적립식 상품,3개월 이상,6개월 미만,제한없음,제한없음,1.0
D02,대백저축은행,애플정기적금(인터넷뱅킹),일정금액을 정기적으로 납입하여 만기일에 원리금을 지급받는 목돈마련 상품,24개월,24개월,제한없음,제한없음,4.0
D02,대백저축은행,신용부금(월수),일정금액을 정기적으로 납입하여 만기일에 원리금을 지급받는 목돈마련 상품,36개월 이상,60개월 미만,제한없음,제한없음,2.5
D02,대백저축은행,애플정기적금(SB톡톡+),일정금액을 정기적으로 납입하여 만기일에 원리금을 지급받는 목돈마련 상품,6개월 이상,12개월 미만,제한없음,제한없음,3.5
D02,대백저축은행,애플정기적금(SB톡톡+),일정금액을 정기적으로 납입하여 만기일에 원리금을 지급받는 목돈마련 상품,12개월 이상,24개월 미만,제한없음,제한없음,4.0
D02,대백저축은행,애플정기적금(SB톡톡+),일정금액을 정기적으로 납입하여 만기일에 원리금을 지급받는 목돈마련 상품,24개월,24개월,제한없음,제한없음,4.0
D02,대백저축은행,자유적립예금,일정금액을 정기적으로 납입하여 만기일에 원리금을 지급받는 목돈마련 상품,3개월 이상,6개월 미만,제한없음,제한없음,3.4
D02,대백저축은행,신용부금(월수),일정금액을 정기적으로 납입하여 만기일에 원리금을 지급받는 목돈마련 상품,60개월,60개월,제한없음,제한없음,2.6
032,부산은행,펫 적금,펫 다이어리 작성하고 우대금리 받는 정기적립식 및 자유적립식 적금 상품?,6개월,6개월,제한없음,제한없음,3.1
D05,드림저축은행,자유적립예금,목돈 마련에 편리하며 종류에 따라 일정 기간 경과 후 대출도 받으실 수 있는 예금으로 예금자 보호법에 따라 보호가 되는 상품입니다. (월복리 적립식 상품),3개월 이상,6개월 미만,제한없음,제한없음,2.0
D05,드림저축은행,자유적립예금,목돈 마련에 편리하며 종류에 따라 일정 기간 경과 후 대출도 받으실 수 있는 예금으로 예금자 보호법에 따라 보호가 되는 상품입니다. (월복리 적립식 상품),15개월 이상,18개월 미만,제한없음,제한없음,4.0
D05,드림저축은행,자유적립예금,목돈 마련에 편리하며 종류에 따라 일정 기간 경과 후 대출도 받으실 수 있는 예금으로 예금자 보호법에 따라 보호가 되는 상품입니다. (월복리 적립식 상품),6개월 이상,12개월 미만,제한없음,제한없음,2.6
032,부산은행,펫 적금,펫 다이어리 작성하고 우대금리 받는 정기적립식 및 자유적립식 적금 상품?,12개월,12개월,제한없음,제한없음,3.6
D05,드림저축은행,정기적금,목돈 마련에 편리하며 종류에 따라 일정 기간 경과 후 대출도 받으실 수 있는 예금으로 예금자 보호법에 따라 보호가 되는 상품입니다.,6개월 이상,12개월 미만,제한없음,제한없음,2.5
D05,드림저축은행,톡톡 정기적금,목돈 마련에 편리하며 종류에 따라 일정 기간 경과 후 대출도 받으실 수 있는 예금으로 예금자 보호법에 따라 보호가 되는 상품입니다.,12개월 이상,24개월 미만,제한없음,제한없음,4.1
D05,드림저축은행,톡톡 정기적금,목돈 마련에 편리하며 종류에 따라 일정 기간 경과 후 대출도 받으실 수 있는 예금으로 예금자 보호법에 따라 보호가 되는 상품입니다.,24개월 이상,36개월 미만,제한없음,제한없음,3.5
D05,드림저축은행,톡톡 정기적금,목돈 마련에 편리하며 종류에 따라 일정 기간 경과 후 대출도 받으실 수 있는 예금으로 예금자 보호법에 따라 보호가 되는 상품입니다.,36개월 이상,60개월 이하,제한없음,제한없음,3.0
D05,드림저축은행,자유적립예금,목돈 마련에 편리하며 종류에 따라 일정 기간 경과 후 대출도 받으실 수 있는 예금으로 예금자 보호법에 따라 보호가 되는 상품입니다. (월복리 적립식 상품),12개월 이상,15개월 미만,제한없음,제한없음,4.0
D07,머스트삼일저축은행,자유적립예금,일정기간을 정하고 자유롭게 적립하며 만기시에 단리로 이자를 지급하는 적립식 상품,1개월 이상,3개월 미만,제한없음,제한없음,1.0
D07,머스트삼일저축은행,자유적립예금,일정기간을 정하고 자유롭게 적립하며 만기시에 단리로 이자를 지급하는 적립식 상품,6개월 이상,12개월 미만,제한없음,제한없음,1.0
D07,머스트삼일저축은행,자유적립예금,일정기간을 정하고 자유롭게 적립하며 만기시에 단리로 이자를 지급하는 적립식 상품,12개월 이상,24개월 미만,제한없음,제한없음,1.6
D07,머스트삼일저축은행,자유적립예금,일정기간을 정하고 자유롭게 적립하며 만기시에 단리로 이자를 지급하는 적립식 상품,24개월 이상,36개월 미만,제한없음,제한없음,1.6
D07,머스트삼일저축은행,자유적립예금,일정기간을 정하고 자유롭게 적립하며 만기시에 단리로 이자를 지급하는 적립식 상품,36개월 이상,60개월 이하,제한없음,제한없음,1.6
D07,머스트삼일저축은행,정기적금,일정기간을 정하고 일정액을 매월 적립하며 만기시에 단리로 이자를 지급 받는 적립식 상품,6개월 이상,12개월 미만,제한없음,제한없음,1.6
D07,머스트삼일저축은행,정기적금,일정기간을 정하고 일정액을 매월 적립하며 만기시에 단리로 이자를 지급 받는 적립식 상품,12개월 이상,24개월 미만,제한없음,제한없음,1.6
D07,머스트삼일저축은행,정기적금,일정기간을 정하고 일정액을 매월 적립하며 만기시에 단리로 이자를 지급 받는 적립식 상품,24개월 이상,36개월 미만,제한없음,제한없음,1.7
032,부산은행,펫 적금,펫 다이어리 작성하고 우대금리 받는 정기적립식 및 자유적립식 적금 상품?,12개월,12개월,제한없음,제한없음,3.5
D07,머스트삼일저축은행,정기적금,일정기간을 정하고 일정액을 매월 적립하며 만기시에 단리로 이자를 지급 받는 적립식 상품,36개월 이상,120개월 이하,제한없음,제한없음,1.8
032,부산은행,상호부금,"만기에 이자와 함께 목돈을 마련할 수 있으며, 
중간에 목돈이 필요하시면 대출도 가능한 상품",6개월 이상,12개월 미만,제한없음,제한없음,2.6
D07,머스트삼일저축은행,e-정기적금,일정기간을 정하고 일정액을 매월 적립하며 만기시에 단리로 이자를 지급 받는 적립식 상품,6개월 이상,12개월 미만,제한없음,제한없음,1.6
D07,머스트삼일저축은행,e-정기적금,일정기간을 정하고 일정액을 매월 적립하며 만기시에 단리로 이자를 지급 받는 적립식 상품,12개월 이상,24개월 미만,제한없음,제한없음,1.6
D07,머스트삼일저축은행,e-정기적금,일정기간을 정하고 일정액을 매월 적립하며 만기시에 단리로 이자를 지급 받는 적립식 상품,24개월 이상,36개월 미만,제한없음,제한없음,1.7
D07,머스트삼일저축은행,e-정기적금,일정기간을 정하고 일정액을 매월 적립하며 만기시에 단리로 이자를 지급 받는 적립식 상품,36개월 이상,120개월 이하,제한없음,제한없음,1.8
D07,머스트삼일저축은행,비대면 정기적금,일정기간을 정하고 일정액을 매월 적립하며 만기시에 단리로 이자를 지급 받는 적립식 상품,6개월 이상,12개월 미만,제한없음,제한없음,1.6
D07,머스트삼일저축은행,비대면 정기적금,일정기간을 정하고 일정액을 매월 적립하며 만기시에 단리로 이자를 지급 받는 적립식 상품,12개월 이상,24개월 미만,제한없음,제한없음,1.6
D07,머스트삼일저축은행,비대면 정기적금,일정기간을 정하고 일정액을 매월 적립하며 만기시에 단리로 이자를 지급 받는 적립식 상품,24개월 이상,36개월 미만,제한없음,제한없음,1.7
D07,머스트삼일저축은행,비대면 정기적금,일정기간을 정하고 일정액을 매월 적립하며 만기시에 단리로 이자를 지급 받는 적립식 상품,36개월 이상,120개월 이하,제한없음,제한없음,1.8
081,하나은행,자유적금,계약기간 동안 수시로 적립이 가능한 자유 적립식 상품,24개월 이상,36개월 미만,제한없음,제한없음,2.65
D08,엠에스저축은행,정기적금,매월 일정금액을 정기적으로 납입하고 만기일에 원리금을 지급받는 상품으로 푼돈을 모아 목돈을 마련하는데 가장 보편적인 장기저축상품,6개월 이상,12개월 미만,제한없음,제한없음,2.7
D08,엠에스저축은행,정기적금,매월 일정금액을 정기적으로 납입하고 만기일에 원리금을 지급받는 상품으로 푼돈을 모아 목돈을 마련하는데 가장 보편적인 장기저축상품,12개월 이상,24개월 미만,제한없음,제한없음,3.9
D08,엠에스저축은행,정기적금,매월 일정금액을 정기적으로 납입하고 만기일에 원리금을 지급받는 상품으로 푼돈을 모아 목돈을 마련하는데 가장 보편적인 장기저축상품,24개월 이상,36개월 미만,제한없음,제한없음,3.9
D08,엠에스저축은행,정기적금,매월 일정금액을 정기적으로 납입하고 만기일에 원리금을 지급받는 상품으로 푼돈을 모아 목돈을 마련하는데 가장 보편적인 장기저축상품,36개월 이상,60개월 미만,제한없음,제한없음,3.8
D08,엠에스저축은행,정기적금,매월 일정금액을 정기적으로 납입하고 만기일에 원리금을 지급받는 상품으로 푼돈을 모아 목돈을 마련하는데 가장 보편적인 장기저축상품,60개월,60개월,제한없음,제한없음,3.5
D08,엠에스저축은행,자유적립예금,일정기간을 정하고 납입 금액 및 횟수에 제한없이 자유롭게 부금을 납입한 후 만기에 월복리로 이자를 계산하여 원금과 함께 수령하실 수 있는 예금,3개월 이상,5개월 이하,제한없음,제한없음,1.3
D08,엠에스저축은행,자유적립예금,일정기간을 정하고 납입 금액 및 횟수에 제한없이 자유롭게 부금을 납입한 후 만기에 월복리로 이자를 계산하여 원금과 함께 수령하실 수 있는 예금,6개월 이상,11개월 이하,제한없음,제한없음,1.5
D08,엠에스저축은행,자유적립예금,일정기간을 정하고 납입 금액 및 횟수에 제한없이 자유롭게 부금을 납입한 후 만기에 월복리로 이자를 계산하여 원금과 함께 수령하실 수 있는 예금,12개월 이상,23개월 이하,제한없음,제한없음,2.1
D08,엠에스저축은행,자유적립예금,일정기간을 정하고 납입 금액 및 횟수에 제한없이 자유롭게 부금을 납입한 후 만기에 월복리로 이자를 계산하여 원금과 함께 수령하실 수 있는 예금,24개월 이상,36개월 이하,제한없음,제한없음,2.1
D08,엠에스저축은행,신용부금(월수),"일정한 금액을 계약기간 동안 정기적으로 납입하고 만기일에 원리금을 지급받으며, 총 납입회수의 1/3의 차 이상 부금 납입 시(대표이사 승인 시 1/3회 차 미만 가능) 계약금액 이내에서 대출을 받을 수 있는 적립식 상품",6개월 이상,12개월 미만,제한없음,제한없음,2.0
D08,엠에스저축은행,신용부금(월수),"일정한 금액을 계약기간 동안 정기적으로 납입하고 만기일에 원리금을 지급받으며, 총 납입회수의 1/3의 차 이상 부금 납입 시(대표이사 승인 시 1/3회 차 미만 가능) 계약금액 이내에서 대출을 받을 수 있는 적립식 상품",12개월 이상,24개월 미만,제한없음,제한없음,2.5
D08,엠에스저축은행,신용부금(월수),"일정한 금액을 계약기간 동안 정기적으로 납입하고 만기일에 원리금을 지급받으며, 총 납입회수의 1/3의 차 이상 부금 납입 시(대표이사 승인 시 1/3회 차 미만 가능) 계약금액 이내에서 대출을 받을 수 있는 적립식 상품",24개월 이상,36개월 미만,제한없음,제한없음,2.7
D08,엠에스저축은행,신용부금(월수),"일정한 금액을 계약기간 동안 정기적으로 납입하고 만기일에 원리금을 지급받으며, 총 납입회수의 1/3의 차 이상 부금 납입 시(대표이사 승인 시 1/3회 차 미만 가능) 계약금액 이내에서 대출을 받을 수 있는 적립식 상품",36개월 이상,48개월 미만,제한없음,제한없음,2.9
D08,엠에스저축은행,신용부금(월수),"일정한 금액을 계약기간 동안 정기적으로 납입하고 만기일에 원리금을 지급받으며, 총 납입회수의 1/3의 차 이상 부금 납입 시(대표이사 승인 시 1/3회 차 미만 가능) 계약금액 이내에서 대출을 받을 수 있는 적립식 상품",48개월 이상,60개월 미만,제한없음,제한없음,2.9
D08,엠에스저축은행,신용부금(월수),"일정한 금액을 계약기간 동안 정기적으로 납입하고 만기일에 원리금을 지급받으며, 총 납입회수의 1/3의 차 이상 부금 납입 시(대표이사 승인 시 1/3회 차 미만 가능) 계약금액 이내에서 대출을 받을 수 있는 적립식 상품",60개월,60개월,제한없음,제한없음,3.0
011,농협은행,NH청년도약계좌,청년고객 대상 정부기여금과 비과세 혜택을 제공하는 저축상품,60개월,60개월,제한없음,제한없음,4.5
011,농협은행,정기적금,일정기간 동안 일정금액을 정기적으로 적립하는 예금상품,12개월 이상,24개월 미만,제한없음,제한없음,1.2
011,농협은행,NH올원e 미니적금,"자유로운 만기, 나만의 맞춤형 목적자금 마련을 돕는 비대면 전용 단기 소액 적금",1개월 이상,3개월 미만,제한없음,제한없음,2.8
011,농협은행,NH올원e 미니적금,"자유로운 만기, 나만의 맞춤형 목적자금 마련을 돕는 비대면 전용 단기 소액 적금",3개월 이상,6개월 미만,제한없음,제한없음,2.9
011,농협은행,NH올원e 미니적금,"자유로운 만기, 나만의 맞춤형 목적자금 마련을 돕는 비대면 전용 단기 소액 적금",6개월,6개월,제한없음,제한없음,3.0
011,농협은행,채움적금,시장 실제금리를 반영하고 연계상품과의 복합거래를 통한 우대서비스 제공,12개월 이상,24개월 미만,제한없음,제한없음,1.73
011,농협은행,채움적금,시장 실제금리를 반영하고 연계상품과의 복합거래를 통한 우대서비스 제공,24개월 이상,36개월 미만,제한없음,제한없음,1.79
011,농협은행,채움적금,시장 실제금리를 반영하고 연계상품과의 복합거래를 통한 우대서비스 제공,36개월,36개월,제한없음,제한없음,1.96
011,농협은행,정기적금,일정기간 동안 일정금액을 정기적으로 적립하는 예금상품,36개월,36개월,제한없음,제한없음,1.35
011,농협은행,정기적금,일정기간 동안 일정금액을 정기적으로 적립하는 예금상품,6개월 이상,12개월 미만,제한없음,제한없음,0.95
011,농협은행,법사랑플러스적금,"실생활 속에서 국민 모두가 꼭 지켜야 할 기초질서 등 사회전반으로 법질서 실천 
운동을 확대해 나가는 공익금융상품",12개월 이상,24개월 미만,제한없음,제한없음,1.74
011,농협은행,법사랑플러스적금,"실생활 속에서 국민 모두가 꼭 지켜야 할 기초질서 등 사회전반으로 법질서 실천 
운동을 확대해 나가는 공익금융상품",24개월 이상,36개월 미만,제한없음,제한없음,1.75
011,농협은행,법사랑플러스적금,"실생활 속에서 국민 모두가 꼭 지켜야 할 기초질서 등 사회전반으로 법질서 실천 
운동을 확대해 나가는 공익금융상품",36개월,36개월,제한없음,제한없음,1.91
E01,대한저축은행,정기적금-인터넷,정기적금 ( 월1만원 단위로 정기적으로 납입),36개월 이상,60개월 이하,제한없음,제한없음,3.6
011,농협은행,NH All100플랜 적금,여유롭고 행복한 은퇴를 위한 준비자금 마련을 위한 적립식 상품,12개월 이상,240개월 이하,제한없음,제한없음,1.35
011,농협은행,정기적금,일정기간 동안 일정금액을 정기적으로 적립하는 예금상품,12개월 이상,24개월 미만,제한없음,제한없음,1.15
011,농협은행,NH농촌으로 적금,귀농 준비자금 마련을 위한 자유적립식 적금,12개월,12개월,제한없음,제한없음,1.35
011,농협은행,NH농촌으로 적금,귀농 준비자금 마련을 위한 자유적립식 적금,24개월,24개월,제한없음,제한없음,1.4
011,농협은행,NH농촌으로 적금,귀농 준비자금 마련을 위한 자유적립식 적금,36개월,36개월,제한없음,제한없음,1.55
A06,OSB저축은행,정기적금,"일정한 기간동안 정기적으로 일정금액을 납입하시고 
계약기간 만료 시 적립한 원금과 이자를 받는 적립식 상품",6개월 이상,12개월 미만,제한없음,제한없음,2.2
A06,OSB저축은행,정기적금,"일정한 기간동안 정기적으로 일정금액을 납입하시고 
계약기간 만료 시 적립한 원금과 이자를 받는 적립식 상품",12개월 이상,24개월 미만,제한없음,제한없음,3.6
037,전북은행,JB카드재테크적금(정액적립식),JB카드 사용실적 등에 따라 우대금리를 제공하는 적립식 상품,12개월,12개월,제한없음,제한없음,1.0
A06,OSB저축은행,정기적금,"일정한 기간동안 정기적으로 일정금액을 납입하시고 
계약기간 만료 시 적립한 원금과 이자를 받는 적립식 상품",24개월 이상,36개월 미만,제한없음,제한없음,3.7
A09,The-K 저축은행,정기적금,일정한 금액을 정기적으로 납입하여 만기일에 이자를 지급받는 상품(영업점 가입전용),24개월 이상,36개월 미만,제한없음,제한없음,3.2
A06,OSB저축은행,정기적금,"일정한 기간동안 정기적으로 일정금액을 납입하시고 
계약기간 만료 시 적립한 원금과 이자를 받는 적립식 상품",36개월 이상,60개월 이하,제한없음,제한없음,3.8
E01,대한저축은행,정기적금-인터넷,정기적금 ( 월1만원 단위로 정기적으로 납입),12개월 이상,36개월 미만,제한없음,제한없음,4.0
037,전북은행,정기적금,"월적립액, 계약기간을 자유롭게 정하여 가입할 수 있는 목돈마련상품",6개월 이상,12개월 미만,제한없음,제한없음,2.7
037,전북은행,정기적금,"월적립액, 계약기간을 자유롭게 정하여 가입할 수 있는 목돈마련상품",12개월 이상,24개월 미만,제한없음,제한없음,3.0
037,전북은행,정기적금,"월적립액, 계약기간을 자유롭게 정하여 가입할 수 있는 목돈마련상품",24개월 이상,36개월 미만,제한없음,제한없음,3.1
037,전북은행,정기적금,"월적립액, 계약기간을 자유롭게 정하여 가입할 수 있는 목돈마련상품",36개월 이상,48개월 미만,제한없음,제한없음,3.15
037,전북은행,정기적금,"월적립액, 계약기간을 자유롭게 정하여 가입할 수 있는 목돈마련상품",48개월 이상,60개월 이하,제한없음,제한없음,3.2
037,전북은행,시장금리부 상호부금,시장실세 금리를 반영한 상품으로 최장 60개월까지 적립 가능한 목돈마련상품,6개월 이상,12개월 미만,제한없음,제한없음,2.65
037,전북은행,상호부금,매월 정해진 날짜에 일정한 금액을 적립하고 만기에 적립금액과 이자를 한꺼번에 찾는 목돈마련상품,6개월 이상,12개월 미만,제한없음,제한없음,2.8
037,전북은행,시장금리부 상호부금,시장실세 금리를 반영한 상품으로 최장 60개월까지 적립 가능한 목돈마련상품,12개월 이상,24개월 미만,제한없음,제한없음,3.1
037,전북은행,상호부금,매월 정해진 날짜에 일정한 금액을 적립하고 만기에 적립금액과 이자를 한꺼번에 찾는 목돈마련상품,24개월 이상,36개월 미만,제한없음,제한없음,3.2
037,전북은행,시장금리부 상호부금,시장실세 금리를 반영한 상품으로 최장 60개월까지 적립 가능한 목돈마련상품,24개월 이상,36개월 미만,제한없음,제한없음,3.2
037,전북은행,시장금리부 상호부금,시장실세 금리를 반영한 상품으로 최장 60개월까지 적립 가능한 목돈마련상품,36개월 이상,48개월 미만,제한없음,제한없음,3.25
037,전북은행,시장금리부 상호부금,시장실세 금리를 반영한 상품으로 최장 60개월까지 적립 가능한 목돈마련상품,48개월 이상,60개월 이하,제한없음,제한없음,3.3
037,전북은행,상호부금,매월 정해진 날짜에 일정한 금액을 적립하고 만기에 적립금액과 이자를 한꺼번에 찾는 목돈마련상품,12개월 이상,24개월 미만,제한없음,제한없음,3.1
037,전북은행,상호부금,매월 정해진 날짜에 일정한 금액을 적립하고 만기에 적립금액과 이자를 한꺼번에 찾는 목돈마련상품,36개월 이상,48개월 미만,제한없음,제한없음,3.25
037,전북은행,상호부금,매월 정해진 날짜에 일정한 금액을 적립하고 만기에 적립금액과 이자를 한꺼번에 찾는 목돈마련상품,48개월 이상,60개월 이하,제한없음,제한없음,3.3
A06,OSB저축은행,프리스타일적금,"일정기간 동안 가입자가 여유자금이 있을 때 
계약금액의 내에서 자유로이 적립할 10% 수 있는 목돈마련 상품",12개월 이상,36개월 이하,제한없음,제한없음,3.7
A06,OSB저축은행,자유적립예금,"신규 가입 후 가입자가 정한 기간 내 여유자금이 있을 때 추가 입금이 가능하며,
만기 시 월 복리로 계산된 이자와 원금을 받으시는 목돈마련 상품입니다
",3개월 이상,6개월 미만,제한없음,제한없음,1.9
A06,OSB저축은행,자유적립예금,"신규 가입 후 가입자가 정한 기간 내 여유자금이 있을 때 추가 입금이 가능하며,
만기 시 월 복리로 계산된 이자와 원금을 받으시는 목돈마련 상품입니다
",6개월 이상,9개월 미만,제한없음,제한없음,4.3
088,신한은행,정기적금,일정기간 후에 일정금액을 지급할 것을 약정하고 월1회 일정한 일자에 일정금액을 수입하는 적금 상품,6개월 이상,12개월 미만,제한없음,제한없음,2.45
A06,OSB저축은행,자유적립예금,"신규 가입 후 가입자가 정한 기간 내 여유자금이 있을 때 추가 입금이 가능하며,
만기 시 월 복리로 계산된 이자와 원금을 받으시는 목돈마련 상품입니다
",9개월 이상,10개월 미만,제한없음,제한없음,4.5
A06,OSB저축은행,자유적립예금,"신규 가입 후 가입자가 정한 기간 내 여유자금이 있을 때 추가 입금이 가능하며,
만기 시 월 복리로 계산된 이자와 원금을 받으시는 목돈마련 상품입니다
",10개월 이상,24개월 미만,제한없음,제한없음,4.3
E04,삼호저축은행,정기적금,일정금액을 저익적으로 납입하면 만기일에 목돈을 받는 상품,36개월,36개월,제한없음,제한없음,3.5
A03,KB저축은행,KB착한정기적금,매월 일정 금액을 정기적으로 저축하고 목돈을 마련하는 정기적금,12개월 이상,24개월 미만,제한없음,제한없음,3.4
A03,KB저축은행,자유적립예금,자유롭게 납입하고 만기일에 목돈을 마련하는 예금,12개월 이상,24개월 미만,제한없음,제한없음,3.7
A03,KB저축은행,KB착한정기적금,매월 일정 금액을 정기적으로 저축하고 목돈을 마련하는 정기적금,24개월 이상,36개월 미만,제한없음,제한없음,3.5
A03,KB저축은행,KB일반정기적금,매월 일정 금액을 납입하여 목돈을 마련하는 정기적금,12개월 이상,24개월 미만,제한없음,제한없음,3.0
A03,KB저축은행,KB일반정기적금,매월 일정 금액을 납입하여 목돈을 마련하는 정기적금,24개월 이상,36개월 미만,제한없음,제한없음,3.1
A03,KB저축은행,KB일반정기적금,매월 일정 금액을 납입하여 목돈을 마련하는 정기적금,36개월,36개월,제한없음,제한없음,3.2
A03,KB저축은행,KB착한e-plus정기적금,매월 일정 금액을 납입하여 목돈을 마련하는 온라인 가입전용 정기적금,12개월 이상,24개월 미만,제한없음,제한없음,3.5
A03,KB저축은행,KB착한e-plus정기적금,매월 일정 금액을 납입하여 목돈을 마련하는 온라인 가입전용 정기적금,24개월 이상,36개월 미만,제한없음,제한없음,3.6
A03,KB저축은행,KB착한e-plus정기적금,매월 일정 금액을 납입하여 목돈을 마련하는 온라인 가입전용 정기적금,36개월,36개월,제한없음,제한없음,3.7
A03,KB저축은행,KB일반e-plus정기적금,매월 일정 금액을 납입하여 목돈을 마련하는 온라인 가입전용 정기적금,12개월 이상,24개월 미만,제한없음,제한없음,3.1
E04,삼호저축은행,정기적금(인터넷-모바일),일정금액을 정기적으로 납입하면 만기일에 목돈을 받는 상품,6개월 이상,12개월 미만,제한없음,제한없음,2.8
A03,KB저축은행,KB일반e-plus정기적금,매월 일정 금액을 납입하여 목돈을 마련하는 온라인 가입전용 정기적금,24개월 이상,36개월 미만,제한없음,제한없음,3.2
A03,KB저축은행,KB일반e-plus정기적금,매월 일정 금액을 납입하여 목돈을 마련하는 온라인 가입전용 정기적금,36개월,36개월,제한없음,제한없음,3.3
A03,KB저축은행,자유적립예금,자유롭게 납입하고 만기일에 목돈을 마련하는 예금,3개월 이상,6개월 미만,제한없음,제한없음,2.3
A03,KB저축은행,자유적립예금,자유롭게 납입하고 만기일에 목돈을 마련하는 예금,6개월 이상,12개월 미만,제한없음,제한없음,2.5
A03,KB저축은행,자유적립예금,자유롭게 납입하고 만기일에 목돈을 마련하는 예금,24개월 이상,36개월 이하,제한없음,제한없음,2.4
A05,OK저축은행,OK e-100만원만들기적금,"매월 82,000원씩 12번을 모아 세후 100만 원 (우대금리 포함, 정상납입 기준)을 만드는 정기적금",12개월,12개월,제한없음,제한없음,2.6
004,국민은행,일반정기적금,매월 일정액을 납입하여 목돈을 마련하는 적립식예금,12개월 이상,24개월 미만,제한없음,제한없음,2.8
A18,유안타저축은행,정기적금,"일정한 기간 동안 가입한도를 정하고 매월 일정한 금액을 정기적으로 납부하여, 계약기간 만료시 목돈을 마련하는 상품 (창구전용상품)",12개월 이상,36개월 이하,제한없음,제한없음,4.0
A18,유안타저축은행,e-정기적금,"일정한 기간 동안 가입한도를 정하고 매월 일정한 금액을 정기적으로 납부하여, 
계약기간 만료 시 목돈을 마련하는 상품(인터넷, 스마트폰 전용상품)",12개월 이상,36개월 이하,제한없음,제한없음,4.05
E01,대한저축은행,정기적금(자유적립식)-인터넷,정기적금(자유적립식)-월중 입금합계액이 가입한도 1/10 이내로 납입,6개월 이상,12개월 미만,제한없음,제한없음,1.7
E01,대한저축은행,정기적금(자유적립식)-인터넷,정기적금(자유적립식)-월중 입금합계액이 가입한도 1/10 이내로 납입,12개월 이상,24개월 미만,제한없음,제한없음,1.9
E03,동양저축은행,정기적금(창구),매월 정해진 일정금액을 불입하여 목돈을 만드는 확정형 적립성예금,12개월 이상,36개월 이하,제한없음,제한없음,4.8
081,하나은행,자유적금,계약기간 동안 수시로 적립이 가능한 자유 적립식 상품,36개월 이상,60개월 미만,제한없음,제한없음,2.75
D02,대백저축은행,신용부금(월수),일정금액을 정기적으로 납입하여 만기일에 원리금을 지급받는 목돈마련 상품,12개월 이상,24개월 미만,제한없음,제한없음,2.3
D02,대백저축은행,애플정기적금(인터넷뱅킹),일정금액을 정기적으로 납입하여 만기일에 원리금을 지급받는 목돈마련 상품,12개월 이상,24개월 미만,제한없음,제한없음,4.0
011,농협은행,정기적금,일정기간 동안 일정금액을 정기적으로 적립하는 예금상품,36개월,36개월,제한없음,제한없음,1.25
E03,동양저축은행,"정기적금(인터넷뱅킹,비대면,스마트폰뱅킹)","일정기간, 일정 불입금액을 정하여 매월 납입일에 적립하는 목돈마련상품",6개월 이상,12개월 미만,제한없음,제한없음,2.5
E03,동양저축은행,"정기적금(인터넷뱅킹,비대면,스마트폰뱅킹)","일정기간, 일정 불입금액을 정하여 매월 납입일에 적립하는 목돈마련상품",12개월 이상,36개월 이하,제한없음,제한없음,4.8
E04,삼호저축은행,정기적금(인터넷-모바일),일정금액을 정기적으로 납입하면 만기일에 목돈을 받는 상품,12개월 이상,24개월 미만,제한없음,제한없음,3.3
E04,삼호저축은행,정기적금(인터넷-모바일),일정금액을 정기적으로 납입하면 만기일에 목돈을 받는 상품,24개월 이상,36개월 미만,제한없음,제한없음,3.4
E04,삼호저축은행,정기적금,일정금액을 저익적으로 납입하면 만기일에 목돈을 받는 상품,6개월 이상,12개월 미만,제한없음,제한없음,2.8
E04,삼호저축은행,정기적금,일정금액을 저익적으로 납입하면 만기일에 목돈을 받는 상품,12개월 이상,24개월 미만,제한없음,제한없음,3.3
