은행코드,은행명,상품명,상품개요_설명,계약기간개월수_최소구간,계약기간개월수_최대구간,가입금액_최소구간,가입금액_최대구간,기본금리
032,부산은행,정기예금,"목돈을 일정기간 예치하여 매월 이자를 지급하거나 
만기에 일시금으로 수령하는 목돈운용상품",3개월 이상,6개월 미만,100원,제한없음,2.35
D05,드림저축은행,정기예금(복리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금 (매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식),15개월 이상,18개월 미만,10만원 이상,제한없음,4.1
D05,드림저축은행,정기예금(복리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금 (매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식),18개월 이상,24개월 미만,10만원 이상,제한없음,3.1
D05,드림저축은행,정기예금(복리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금 (매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식),24개월 이상,36개월 미만,10만원 이상,제한없음,3.1
032,부산은행,정기예금,"목돈을 일정기간 예치하여 매월 이자를 지급하거나 
만기에 일시금으로 수령하는 목돈운용상품",6개월 이상,12개월 미만,100원,제한없음,2.45
D05,드림저축은행,정기예금(복리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금 (매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식),36개월,36개월,10만원 이상,제한없음,2.6
D05,드림저축은행,"인터넷정기예금(단리식,1년이상)",고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자를 받으시는 단리식 정기예금.,12개월 이상,15개월 미만,10만원 이상,제한없음,4.3
D05,드림저축은행,"인터넷정기예금(단리식,1년이상)",고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자를 받으시는 단리식 정기예금.,18개월 이상,24개월 미만,10만원 이상,제한없음,3.1
D05,드림저축은행,"인터넷정기예금(단리식,1년이상)",고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자를 받으시는 단리식 정기예금.,24개월 이상,36개월 미만,10만원 이상,제한없음,3.1
D05,드림저축은행,"인터넷정기예금(단리식,1년이상)",고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자를 받으시는 단리식 정기예금.,36개월,36개월,10만원 이상,제한없음,2.6
D05,드림저축은행,"인터넷정기예금(단리식,1년미만)",고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식 정기예금.,1개월 이상,3개월 미만,10만원 이상,제한없음,1.5
D05,드림저축은행,"인터넷정기예금(단리식,1년미만)",고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식 정기예금.,3개월 이상,6개월 미만,10만원 이상,제한없음,2.5
D05,드림저축은행,"인터넷정기예금(단리식,1년미만)",고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식 정기예금.,6개월 이상,9개월 미만,10만원 이상,제한없음,3.2
D05,드림저축은행,"인터넷정기예금(단리식,1년미만)",고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식 정기예금.,9개월 이상,12개월 미만,10만원 이상,제한없음,3.2
D05,드림저축은행,"인터넷정기예금(복리식,1년이상)",고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식 정기예금.,12개월 이상,15개월 미만,10만원 이상,제한없음,4.3
D05,드림저축은행,"인터넷정기예금(복리식,1년이상)",고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식 정기예금.,15개월 이상,18개월 미만,10만원 이상,제한없음,4.1
D05,드림저축은행,"인터넷정기예금(복리식,1년이상)",고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식 정기예금.,18개월 이상,24개월 미만,10만원 이상,제한없음,3.1
D05,드림저축은행,"인터넷정기예금(복리식,1년이상)",고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식 정기예금.,24개월 이상,36개월 미만,10만원 이상,제한없음,3.1
D05,드림저축은행,"인터넷정기예금(복리식,1년이상)",고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식 정기예금.,36개월,36개월,10만원 이상,제한없음,2.6
D05,드림저축은행,"인터넷정기예금(복리식,1년미만)",매월 이자가 원금에 가산되어 만기시에 이자를 받으시는 복리식 정기예금.,1개월 이상,3개월 미만,10만원 이상,제한없음,1.5
D05,드림저축은행,"인터넷정기예금(복리식,1년미만)",매월 이자가 원금에 가산되어 만기시에 이자를 받으시는 복리식 정기예금.,3개월 이상,6개월 미만,10만원 이상,제한없음,2.5
D05,드림저축은행,"인터넷정기예금(복리식,1년미만)",매월 이자가 원금에 가산되어 만기시에 이자를 받으시는 복리식 정기예금.,6개월 이상,9개월 미만,10만원 이상,제한없음,3.2
D05,드림저축은행,"인터넷정기예금(복리식,1년미만)",매월 이자가 원금에 가산되어 만기시에 이자를 받으시는 복리식 정기예금.,9개월 이상,12개월 미만,10만원 이상,제한없음,3.2
D07,머스트삼일저축은행,정기예금 단리식,일정금액을 일정기간 동안 예치하여 월 단위 정해진 이자를 받은 상품으로 목돈 운용에 적합,1개월 이상,3개월 미만,10만원 이상,제한없음,1.0
D05,드림저축은행,톡톡 정기예금(단리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자를 받으시는 단리식 정기예금.,1개월 이상,3개월 미만,10만원 이상,제한없음,1.5
D05,드림저축은행,톡톡 정기예금(단리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자를 받으시는 단리식 정기예금.,3개월 이상,6개월 미만,10만원 이상,제한없음,2.5
D05,드림저축은행,톡톡 정기예금(단리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자를 받으시는 단리식 정기예금.,6개월 이상,9개월 미만,10만원 이상,제한없음,3.2
D05,드림저축은행,톡톡 정기예금(단리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자를 받으시는 단리식 정기예금.,9개월 이상,12개월 미만,10만원 이상,제한없음,3.2
D05,드림저축은행,톡톡 정기예금(단리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자를 받으시는 단리식 정기예금.,12개월 이상,15개월 미만,10만원 이상,제한없음,4.3
D05,드림저축은행,톡톡 정기예금(단리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자를 받으시는 단리식 정기예금.,15개월 이상,18개월 미만,10만원 이상,제한없음,4.1
D05,드림저축은행,톡톡 정기예금(단리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자를 받으시는 단리식 정기예금.,18개월 이상,24개월 미만,10만원 이상,제한없음,3.1
D05,드림저축은행,톡톡 정기예금(단리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자를 받으시는 단리식 정기예금.,24개월 이상,36개월 미만,10만원 이상,제한없음,3.1
D05,드림저축은행,톡톡 정기예금(단리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자를 받으시는 단리식 정기예금.,36개월,36개월,10만원 이상,제한없음,2.6
D05,드림저축은행,톡톡 정기예금(복리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식 정기예금.,1개월 이상,3개월 미만,10만원 이상,제한없음,1.5
D05,드림저축은행,톡톡 정기예금(복리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식 정기예금.,3개월 이상,6개월 미만,10만원 이상,제한없음,2.5
D05,드림저축은행,톡톡 정기예금(복리식),고객님의 여유자금을 맡기시면 최고의 수익률을 보장하는 고수익 예금입니다. 매월 이자가 원금에 가산되어 만기시에 이자를 드리는 복리식 정기예금.,18개월 이상,24개월 미만,10만원 이상,제한없음,3.1
D07,머스트삼일저축은행,정기예금 단리식,일정금액을 일정기간 동안 예치하여 월 단위 정해진 이자를 받은 상품으로 목돈 운용에 적합,36개월 이상,60개월 이하,10만원 이상,제한없음,2.8
D07,머스트삼일저축은행,비대면정기예금 복리식,일정금액을 일정기간 동안 예치하여 예치기간이 만료되었을 때 정해진 이자를 받은 상품으로 목돈 운용에 적합,6개월 이상,12개월 미만,10만원 이상,제한없음,4.3
D07,머스트삼일저축은행,비대면정기예금 복리식,일정금액을 일정기간 동안 예치하여 예치기간이 만료되었을 때 정해진 이자를 받은 상품으로 목돈 운용에 적합,12개월,12개월,10만원 이상,제한없음,4.3
D07,머스트삼일저축은행,비대면정기예금 단리식,일정금액을 일정기간 동안 예치하여 월 단위로 정해진 이자를 받은 상품으로 목돈 운용에 적합,6개월 이상,12개월 미만,10만원 이상,제한없음,4.3
D07,머스트삼일저축은행,비대면정기예금 단리식,일정금액을 일정기간 동안 예치하여 월 단위로 정해진 이자를 받은 상품으로 목돈 운용에 적합,12개월,12개월,10만원 이상,제한없음,4.3
A09,The-K 저축은행,정기예금,일정기간 여유자금을 예치하고 확정금리로 고수익으 보장하는 예금,18개월 이상,36개월 이하,10만원 이상,제한없음,3.3
A06,OSB저축은행,단리 정기예금,"금리 하락 시에도 변동없는 확정금리 상품으로 고객님의 
여유자금을 안전하게 운용할 수 있는 목돈 굴리기 상품",9개월 이상,10개월 미만,10만원,제한없음,4.5
A06,OSB저축은행,단리 정기예금,"금리 하락 시에도 변동없는 확정금리 상품으로 고객님의 
여유자금을 안전하게 운용할 수 있는 목돈 굴리기 상품",10개월 이상,24개월 미만,10만원,제한없음,4.3
D08,엠에스저축은행,정기예금(단리식),목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,1개월 이상,3개월 미만,10만원 이상,제한없음,2.4
D08,엠에스저축은행,정기예금(단리식),목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,3개월 이상,6개월 미만,10만원 이상,제한없음,2.6
D08,엠에스저축은행,정기예금(단리식),목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,6개월 이상,12개월 미만,10만원 이상,제한없음,3.0
A06,OSB저축은행,복리 정기예금,"금리 하락 시에도 변동없는 확정금리 상품으로 고객님의 
여유자금을 안전하게 운용할 수 있는 목돈 굴리기 상품",1개월 이상,3개월 미만,10만원,제한없음,1.2
D08,엠에스저축은행,정기예금(단리식),목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,12개월,12개월,10만원 이상,제한없음,4.3
D08,엠에스저축은행,정기예금(단리식),목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,13개월 이상,15개월 미만,10만원 이상,제한없음,4.0
D08,엠에스저축은행,정기예금(단리식),목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,15개월 이상,18개월 미만,10만원 이상,제한없음,4.0
D08,엠에스저축은행,정기예금(단리식),목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,18개월 이상,24개월 미만,10만원 이상,제한없음,4.0
D08,엠에스저축은행,정기예금(단리식),목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,24개월 이상,36개월 미만,10만원 이상,제한없음,3.1
D08,엠에스저축은행,정기예금(단리식),목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,36개월,36개월,10만원 이상,제한없음,3.1
D08,엠에스저축은행,정기예금(복리식),목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,1개월 이상,3개월 미만,10만원 이상,제한없음,2.4
D08,엠에스저축은행,정기예금(복리식),목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,3개월 이상,6개월 미만,10만원 이상,제한없음,2.6
D08,엠에스저축은행,정기예금(복리식),목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,6개월 이상,12개월 미만,10만원 이상,제한없음,3.0
D08,엠에스저축은행,정기예금(복리식),목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,12개월,12개월,10만원 이상,제한없음,4.3
D08,엠에스저축은행,정기예금(복리식),목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,13개월 이상,15개월 미만,10만원 이상,제한없음,4.0
D08,엠에스저축은행,정기예금(복리식),목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,15개월 이상,18개월 미만,10만원 이상,제한없음,4.0
D08,엠에스저축은행,정기예금(복리식),목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,18개월 이상,24개월 미만,10만원 이상,제한없음,4.0
D08,엠에스저축은행,정기예금(복리식),목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,24개월 이상,36개월 미만,10만원 이상,제한없음,3.1
088,신한은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 목적으로 하는 확정금리 예금상품,3개월 이상,6개월 미만,1만원 이상,제한없음,2.25
D08,엠에스저축은행,정기예금(복리식),목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,36개월,36개월,10만원 이상,제한없음,3.1
D08,엠에스저축은행,e-정기예금(단리식),(인터넷) 목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,1개월 이상,3개월 미만,10만원 이상,제한없음,2.4
D08,엠에스저축은행,e-정기예금(단리식),(인터넷) 목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,3개월 이상,6개월 미만,10만원 이상,제한없음,2.6
E05,센트럴저축은행,정기예금(단리식),목돈을 일정기간 동안 예치하고 안정적인 수익을 추구하는 거치식 예금상품,6개월 이상,12개월 미만,10만원 이상,제한없음,2.4
D08,엠에스저축은행,e-정기예금(단리식),(인터넷) 목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,6개월 이상,12개월 미만,10만원 이상,제한없음,3.0
D08,엠에스저축은행,e-정기예금(단리식),(인터넷) 목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,12개월,12개월,10만원 이상,제한없음,4.3
D08,엠에스저축은행,e-정기예금(단리식),(인터넷) 목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,13개월 이상,15개월 미만,10만원 이상,제한없음,3.3
D08,엠에스저축은행,e-정기예금(단리식),(인터넷) 목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,15개월 이상,18개월 미만,10만원 이상,제한없음,3.3
D08,엠에스저축은행,e-정기예금(단리식),(인터넷) 목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,18개월 이상,24개월 미만,10만원 이상,제한없음,3.3
A06,OSB저축은행,복리 정기예금,"금리 하락 시에도 변동없는 확정금리 상품으로 고객님의 
여유자금을 안전하게 운용할 수 있는 목돈 굴리기 상품",3개월 이상,6개월 미만,10만원,제한없음,1.9
A06,OSB저축은행,복리 정기예금,"금리 하락 시에도 변동없는 확정금리 상품으로 고객님의 
여유자금을 안전하게 운용할 수 있는 목돈 굴리기 상품",6개월 이상,9개월 미만,10만원,제한없음,4.3
D08,엠에스저축은행,e-정기예금(단리식),(인터넷) 목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,24개월 이상,36개월 미만,10만원 이상,제한없음,3.1
D08,엠에스저축은행,e-정기예금(단리식),(인터넷) 목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,36개월,36개월,10만원 이상,제한없음,3.1
D08,엠에스저축은행,e-정기예금(복리식),(인터넷) 목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,1개월 이상,3개월 미만,10만원 이상,제한없음,2.4
D08,엠에스저축은행,e-정기예금(복리식),(인터넷) 목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,3개월 이상,6개월 미만,10만원 이상,제한없음,2.6
D08,엠에스저축은행,e-정기예금(복리식),(인터넷) 목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,6개월 이상,12개월 미만,10만원 이상,제한없음,3.0
D08,엠에스저축은행,e-정기예금(복리식),(인터넷) 목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,12개월,12개월,10만원 이상,제한없음,4.3
D08,엠에스저축은행,e-정기예금(복리식),(인터넷) 목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,13개월 이상,15개월 미만,10만원 이상,제한없음,3.3
D08,엠에스저축은행,e-정기예금(복리식),(인터넷) 목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,15개월 이상,18개월 미만,10만원 이상,제한없음,3.3
D08,엠에스저축은행,e-정기예금(복리식),(인터넷) 목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,18개월 이상,24개월 미만,10만원 이상,제한없음,3.3
D08,엠에스저축은행,e-정기예금(복리식),(인터넷) 목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,24개월 이상,36개월 미만,10만원 이상,제한없음,3.1
D08,엠에스저축은행,e-정기예금(복리식),(인터넷) 목돈을 일정기간 동안 예치하고 매월 또는 만기에 이자를 지급하는 가장 보편적인 장기저축 상품,36개월,36개월,10만원 이상,제한없음,3.1
088,신한은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 목적으로 하는 확정금리 예금상품,6개월 이상,9개월 미만,1만원 이상,제한없음,2.55
A06,OSB저축은행,복리 정기예금,"금리 하락 시에도 변동없는 확정금리 상품으로 고객님의 
여유자금을 안전하게 운용할 수 있는 목돈 굴리기 상품",9개월 이상,10개월 미만,10만원,제한없음,4.5
A06,OSB저축은행,복리 정기예금,"금리 하락 시에도 변동없는 확정금리 상품으로 고객님의 
여유자금을 안전하게 운용할 수 있는 목돈 굴리기 상품",10개월 이상,24개월 미만,10만원,제한없음,4.3
A06,OSB저축은행,복리 정기예금,"금리 하락 시에도 변동없는 확정금리 상품으로 고객님의 
여유자금을 안전하게 운용할 수 있는 목돈 굴리기 상품",24개월 이상,36개월,10만원,제한없음,3.7
011,농협은행,정기예금,예치기간을 미리 약정하고 일정금액을 예입하는 거치식 예금,3개월이상,6개월 미만,1천원이상,제한없음,0.65
011,농협은행,NH올원e예금,손쉽게 목돈을 굴릴 수 있는 농협은행 비대면 전용 대표 거치식 예금,1개월 이상,3개월 미만,10만원 이상,10억원 이하,1.4
011,농협은행,NH올원e예금,손쉽게 목돈을 굴릴 수 있는 농협은행 비대면 전용 대표 거치식 예금,3개월 이상,6개월 미만,10만원 이상,10억원 이하,1.67
020,우리은행,우리 SUPER 정기예금,"만기일을 일, 월 단위로 자유롭게 선택할 수 있으며 10년까지 자동 재예치가 가능한 다양한 기능을 갖춘 개인고객 대상 전용 정기예금",24개월 이상,36개월 미만,1백만원 이상,제한없음,3.2
011,농협은행,NH올원e예금,손쉽게 목돈을 굴릴 수 있는 농협은행 비대면 전용 대표 거치식 예금,6개월 이상,12개월 미만,10만원 이상,10억원 이하,2.17
011,농협은행,NH올원e예금,손쉽게 목돈을 굴릴 수 있는 농협은행 비대면 전용 대표 거치식 예금,12개월 이상,24개월 미만,10만원 이상,10억원 이하,2.52
011,농협은행,NH올원e예금,손쉽게 목돈을 굴릴 수 있는 농협은행 비대면 전용 대표 거치식 예금,24개월 이상,36개월 이하,10만원 이상,10억원 이하,3.0
011,농협은행,NH왈츠회전예금 Ⅱ,월단위로 회전주기를 선택할 수 있고 회전주기마다 실세금리를 적용하는 개인전용 회전예금,12개월 이상,36개월 이하,300만원 이상,제한없음,0.77
011,농협은행,NH왈츠회전예금 Ⅱ,월단위로 회전주기를 선택할 수 있고 회전주기마다 실세금리를 적용하는 개인전용 회전예금,12개월 이상,36개월 이하,300만원 이상,제한없음,1.06
011,농협은행,NH왈츠회전예금 Ⅱ,월단위로 회전주기를 선택할 수 있고 회전주기마다 실세금리를 적용하는 개인전용 회전예금,12개월 이상,36개월 이하,300만원 이상,제한없음,1.35
088,신한은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 목적으로 하는 확정금리 예금상품,12개월 이상,24개월 미만,1만원 이상,제한없음,2.65
011,농협은행,NH왈츠회전예금 Ⅱ,월단위로 회전주기를 선택할 수 있고 회전주기마다 실세금리를 적용하는 개인전용 회전예금,12개월 이상,36개월 이하,300만원 이상,제한없음,1.73
011,농협은행,정기예금,예치기간을 미리 약정하고 일정금액을 예입하는 거치식 예금,24개월이상,36개월 미만,1천원이상,제한없음,0.9
A06,OSB저축은행,OSB회전식단리정기예금,"회전주기 매 년 시점의 정기예금 개월 금리에 
우대금리를 더해 자동회전되며 1 매 년 경과 후 
중도해지시 회전주기 완료기간은 약정이율이 적용되는 
중도해지 손실을 최소화한 장기운용상품 (변동금리 상품)",36 개월,36 개월,100만원,제한없음,4.3
A06,OSB저축은행,OSB회전식복리정기예금,"회전주기 매 년 시점의 정기예금 개월 금리에 
우대금리를 더해 자동회전되며 1 매 년 경과 후 
중도해지시 회전주기 완료기간은 약정이율이 적용되는 
중도해지 손실을 최소화한 장기운용상품 (변동금리 상품)",36 개월,36 개월,100만원,제한없음,4.3
011,농협은행,정기예금,예치기간을 미리 약정하고 일정금액을 예입하는 거치식 예금,1개월이상,3개월 미만,1천원이상,제한없음,0.55
011,농협은행,정기예금,예치기간을 미리 약정하고 일정금액을 예입하는 거치식 예금,6개월이상,12개월 미만,1천원이상,제한없음,0.75
011,농협은행,정기예금,예치기간을 미리 약정하고 일정금액을 예입하는 거치식 예금,12개월이상,24개월 미만,1천원이상,제한없음,0.85
011,농협은행,정기예금,예치기간을 미리 약정하고 일정금액을 예입하는 거치식 예금,36개월,36개월,1천원이상,제한없음,1.1
011,농협은행,초장기회전예금,최장 15년까지 장기간 예치가 가능한 거치식 상품,12개월 이상,300개월 이하,10만원이상,제한없음,1.2
020,우리은행,우리 SUPER 정기예금,"만기일을 일, 월 단위로 자유롭게 선택할 수 있으며 10년까지 자동 재예치가 가능한 다양한 기능을 갖춘 개인고객 대상 전용 정기예금",12개월 이상,24개월 미만,1백만원 이상,제한없음,3.0
E05,센트럴저축은행,정기예금(복리식),목돈을 일정기간 동안 예치하고 안정적인 수익을 추구하는 거치식 예금상품,12개월,12개월,10만원 이상,제한없음,4.0
E05,센트럴저축은행,e-정기예금(단리식),일정기간을 정하여 자금을 예치하고 확정금리로 운영되는 상품,1개월 이상,3개월 미만,10만원 이상,제한없음,2.0
088,신한은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 목적으로 하는 확정금리 예금상품,36개월 이상,48개월 미만,1만원 이상,제한없음,2.75
F02,상상인플러스저축은행,e-정기예금_단기,"영업점 방문없이 인터넷/스마트폰을 이용해 개설이 가능하며, 일정기간동안 목돈을 예치하고 매월 또는 만기에 이자를 지급 받는 거치식 상품입니다",3개월이상,6개월미만,10만원이상,제한없음,2.31
E04,삼호저축은행,정기예금 단리식(인터넷-모바일),일정금액을 일정기간 동안 예치하여 월 단위 또는 예치기간이 만료되었을때 정해진 이자를 받는 상품,24개월 이상,36개월 이하,10만원 이상,제한없음,3.7
088,신한은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 목적으로 하는 확정금리 예금상품,48개월 이상,60개월 미만,1만원 이상,제한없음,2.8
A03,KB저축은행,정기예금,확정금리로 높은 수익을 누리는 정기예금,24개월 이상,36개월 이하,100만원 이상,제한없음,2.4
032,부산은행,메리트정기예금,시장실세금리에 연동한 약정금리를 만기일까지 적용하는 확정금리 정기예금으로 단기 고금리 상품입,6개월 이상,12개월 미만,5백만원,제한없음,2.45
037,전북은행,JB FUN 세이브 통장,예금 이자를 매월 선이자로 받아 재테크(적금 또는 펀드 적립),1개월 이상,3개월 미만,2천만원 이상,제한없음,2.0
020,우리은행,정기예금,원하는 기간동안 자유롭게 목돈 굴리기,36개월,36개월,제한없음,제한없음,2.9
037,전북은행,JB FUN 세이브 통장,"예금 이자를 매월 선이자로 받아 재테크(적금 또는 펀드 적립)
",3개월 이상,6개월 미만,2천만원 이상,제한없음,2.3
037,전북은행,JB FUN 세이브 통장,예금 이자를 매월 선이자로 받아 재테크(적금 또는 펀드 적립),6개월 이상,12개월 미만,2천만원 이상,제한없음,2.5
032,부산은행,LIVE정기예금,특판 전용 정기예금,1개월 이상,3개월 미만,1천만원,제한없음,2.15
037,전북은행,JB FUN 세이브 통장,예금 이자를 매월 선이자로 받아 재테크(적금 또는 펀드 적립),12개월 이상,24개월 미만,2천만원 이상,제한없음,2.8
037,전북은행,JB FUN 세이브 통장,예금 이자를 매월 선이자로 받아 재테크(적금 또는 펀드 적립),24개월 이상,36개월 미만,2천만원 이상,제한없음,2.9
037,전북은행,JB FUN 세이브 통장,예금 이자를 매월 선이자로 받아 재테크(적금 또는 펀드 적립),36개월,36개월,2천만원 이상,제한없음,2.95
A03,KB저축은행,KB e-plus정기예금,확정금리로 높은 수익을 누리는 온라인 가입전용 정기예금,3개월 이상,6개월 미만,100만원 이상,제한없음,2.4
A03,KB저축은행,정기예금,확정금리로 높은 수익을 누리는 정기예금,3개월 이상,6개월 미만,100만원 이상,제한없음,2.3
A03,KB저축은행,정기예금,확정금리로 높은 수익을 누리는 정기예금,12개월 이상,24개월 미만,100만원 이상,제한없음,3.7
A03,KB저축은행,KB e-plus정기예금,확정금리로 높은 수익을 누리는 온라인 가입전용 정기예금,6개월 이상,12개월 미만,100만원 이상,제한없음,2.6
A03,KB저축은행,KB e-plus정기예금,확정금리로 높은 수익을 누리는 온라인 가입전용 정기예금,12개월 이상,24개월 미만,100만원 이상,제한없음,3.8
A03,KB저축은행,KB e-plus정기예금,확정금리로 높은 수익을 누리는 온라인 가입전용 정기예금,24개월 이상,36개월 이하,100만원 이상,제한없음,2.5
